State,District,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F
0,0,India,India,Total,41694863,201378372,103535314,97843058
0,0,India,India,Rural,31803775,153850848,79118287,74732561
0,0,India,India,Urban,9891088,47527524,24417027,23110497
1,0,State,JAMMU & KASHMIR,Total,183020,924991,486232,438759
1,0,State,JAMMU & KASHMIR,Rural,149536,751026,392981,358045
1,0,State,JAMMU & KASHMIR,Urban,33484,173965,93251,80714
1,1,DISTRICT,Kupwara,Total,101,1048,1046,2
1,1,DISTRICT,Kupwara,Rural,63,872,870,2
1,1,DISTRICT,Kupwara,Urban,38,176,176,0
1,2,DISTRICT,Badgam,Total,14,368,343,25
1,2,DISTRICT,Badgam,Rural,1,86,78,8
1,2,DISTRICT,Badgam,Urban,13,282,265,17
1,3,DISTRICT,Leh(Ladakh),Total,40,488,444,44
1,3,DISTRICT,Leh(Ladakh),Rural,14,108,89,19
1,3,DISTRICT,Leh(Ladakh),Urban,26,380,355,25
1,4,DISTRICT,Kargil,Total,4,18,12,6
1,4,DISTRICT,Kargil,Rural,2,10,5,5
1,4,DISTRICT,Kargil,Urban,2,8,7,1
1,5,DISTRICT,Punch,Total,112,556,406,150
1,5,DISTRICT,Punch,Rural,59,278,248,30
1,5,DISTRICT,Punch,Urban,53,278,158,120
1,6,DISTRICT,Rajouri,Total,10787,48157,25170,22987
1,6,DISTRICT,Rajouri,Rural,10488,46141,23907,22234
1,6,DISTRICT,Rajouri,Urban,299,2016,1263,753
1,7,DISTRICT,Kathua,Total,27744,141224,74644,66580
1,7,DISTRICT,Kathua,Rural,23560,119693,63321,56372
1,7,DISTRICT,Kathua,Urban,4184,21531,11323,10208
1,8,DISTRICT,Baramula,Total,86,1476,1451,25
1,8,DISTRICT,Baramula,Rural,75,323,304,19
1,8,DISTRICT,Baramula,Urban,11,1153,1147,6
1,9,DISTRICT,Bandipore,Total,23,392,375,17
1,9,DISTRICT,Bandipore,Rural,4,105,105,0
1,9,DISTRICT,Bandipore,Urban,19,287,270,17
1,10,DISTRICT,Srinagar,Total,59,1068,995,73
1,10,DISTRICT,Srinagar,Rural,0,0,0,0
1,10,DISTRICT,Srinagar,Urban,59,1068,995,73
1,11,DISTRICT,Ganderbal,Total,7,117,105,12
1,11,DISTRICT,Ganderbal,Rural,7,85,73,12
1,11,DISTRICT,Ganderbal,Urban,0,32,32,0
1,12,DISTRICT,Pulwama,Total,15,402,397,5
1,12,DISTRICT,Pulwama,Rural,3,52,48,4
1,12,DISTRICT,Pulwama,Urban,12,350,349,1
1,13,DISTRICT,Shupiyan,Total,0,43,43,0
1,13,DISTRICT,Shupiyan,Rural,0,5,5,0
1,13,DISTRICT,Shupiyan,Urban,0,38,38,0
1,14,DISTRICT,Anantnag,Total,33,1826,1811,15
1,14,DISTRICT,Anantnag,Rural,19,1383,1371,12
1,14,DISTRICT,Anantnag,Urban,14,443,440,3
1,15,DISTRICT,Kulgam,Total,3,21,11,10
1,15,DISTRICT,Kulgam,Rural,3,18,8,10
1,15,DISTRICT,Kulgam,Urban,0,3,3,0
1,16,DISTRICT,Doda,Total,10531,53408,27209,26199
1,16,DISTRICT,Doda,Rural,10290,52339,26659,25680
1,16,DISTRICT,Doda,Urban,241,1069,550,519
1,17,DISTRICT,Ramban,Total,2659,13920,7168,6752
1,17,DISTRICT,Ramban,Rural,2560,13402,6892,6510
1,17,DISTRICT,Ramban,Urban,99,518,276,242
1,18,DISTRICT,Kishtwar,Total,2813,14307,7322,6985
1,18,DISTRICT,Kishtwar,Rural,2763,14020,7163,6857
1,18,DISTRICT,Kishtwar,Urban,50,287,159,128
1,19,DISTRICT,Udhampur,Total,24500,138569,72093,66476
1,19,DISTRICT,Udhampur,Rural,21517,122742,63846,58896
1,19,DISTRICT,Udhampur,Urban,2983,15827,8247,7580
1,20,DISTRICT,Reasi,Total,6818,37757,19657,18100
1,20,DISTRICT,Reasi,Rural,5979,33232,17292,15940
1,20,DISTRICT,Reasi,Urban,839,4525,2365,2160
1,21,DISTRICT,Jammu,Total,77683,377991,197610,180381
1,21,DISTRICT,Jammu,Rural,55968,268098,140062,128036
1,21,DISTRICT,Jammu,Urban,21715,109893,57548,52345
1,22,DISTRICT,Samba,Total,18988,91835,47920,43915
1,22,DISTRICT,Samba,Rural,16161,78034,40635,37399
1,22,DISTRICT,Samba,Urban,2827,13801,7285,6516
2,0,State,HIMACHAL PRADESH,Total,358212,1729252,876300,852952
2,0,State,HIMACHAL PRADESH,Rural,329620,1606535,812072,794463
2,0,State,HIMACHAL PRADESH,Urban,28592,122717,64228,58489
2,23,DISTRICT,Chamba,Total,21197,111690,56154,55536
